For Class,Method,Ascendants,Ascendant IDs,Descendants,Descendants IDs,Instance ID
,(implements for Derived_WTB) Worker Time Block@get Reusable Calculated Time Blocks(SS)*O,,,Derived_WTB@get Derived_WTB.re use calc Worker Time Block(GR),207$17356,19$52227
,(implements for Derived_WTB) Worker Time Block@ Time Day for Time Block(SS)*O,,,Derived_WTB@get Derived_WTB.for a Worker Time Day (Derived)(GR),207$19705,19$53510
,(implements for Derived_WTB) Worker Time Block@ Week for Time Block(SS)*O,,,Derived_WTB@get Derived_WTB.for a Worker Time Week (Derived)(GR),207$19706,19$53512
,(implements for Derived_WTB) Worker Coordinated Time Block@ Worker Time Block Time Tracking History Action(SS)*O,,,Worker Time@get Worker Time.audit history status Time Tracking History Action(GR),207$21852,19$53518
,(implements for Worker Time Block{+1}) Worker Coordinated Time Block@ Time Punch Type(SS)*O,,,Worker Time@get Worker Time.out type Time Punch Type(GR),207$18705,19$56416
,(implements for Worker Time Block) Worker Coordinated Time Block@ Time Review Events linked to WCTB(SS)*O,,,Worker Time Block@get Time Review Events for Worker Time Block(SS)(public)[rsmb],87$179662,19$56567
,(implements for Worker Time Block{+1}) Worker Coordinated Time Block@ Time Tags for Worker Coordinated Time Blocks(SS)*O,,,Time Tracking Taggable@get Time Tags for Time Taggable(SS)(public)[rsmb],87$151295,19$56992
,(implements for Worker Time Block{+2}) Worker Coordinated Time Block@ Custom Organization 1 for Time Tracking(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by index 01 Custom Organization(GR)(public),207$17987,19$57119
,(implements for Worker Time Block{+2}) Worker Coordinated Time Block@ Custom Organization 9 for Time Tracking(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by index 09 Custom Organization(GR)(public),207$17995,19$57127
,(implements for Derived_WTB) Worker Time Block@ Worker Time Shift for Block(SS)*O,,,Derived_WTBV@get Derived_WTBV.has Worker Time Shift (Derived)(GR),207$23733,19$57568
,(implements for Worker Time Block{+1}) Worker Time@get Out Type(SS)*O,,,Worker Time@get Out Type for Worker Time parameter(GRS)*P*S[rsmb]+PA,87$552222,19$58963
,(implements for Worker Time Block{+1}) Worker Coordinated Time Block@get Unit for Worker Time Coordinated block(SS)*O,,,Worker Time@get Time Tracking Unit for Time Entry Code(GRS)[rsmb],87$225205,19$62253
,(implements for Worker Time Block) Worker Coordinated Time Block@ Worker Time Blocks (Calculated) originating from Worker Time Block(SS)*O,,,Worker Time Block@get Worker Time Blocks (Calculated) Originating From Worker Time Block(IOP)*P*S[rsmb],87$395682,19$63675
,(implements for Worker Time Block{+2}) Worker Coordinated Time Block@ Time Type for Worker Coordinated Time Block(SS)*O,,,Worker Time@get Time Type for Worker Time(SS)[rsmb],87$195490,19$67499
,(implements for Job Profile) Time Tag@get Dimension For Time Tag(SS)*O,,,System Worktag Dimension@get Job Profile System Worktag Dimension(GSI)*S(public)[rsmb],87$32916,19$70301
,(implements for Worker Time Block{+1}) Worker Coordinated Time Block@ Worker Document for Time Tracking(SS)*O,,,Worker Time@get Worker Time.has Worker Document(GR),207$31397,19$71172
,(implements for Billable Time Block) Billable Transaction@get Time Code for Billable Transaction(SS)*O,,,Worker Coordinated Time Block@get Worker Coordinated Time Entry Code(GSS)[rsmb],87$162640,19$86849
,(implements for Billable Time Block) Billable Transaction@get Worker for Billable Transaction(SS)*O,,,Worker Coordinated Time Block@get Worker from Worker Coordinated Time Block(GSS)(public)[rsmb],87$169078,19$86850
,(implements for Billable Time Block) Billable Transaction@get Accounting Worktags for Billable Transaction(SS)*O,,,Time Tracking Taggable@get Time Tags for Time Taggable(SS)(public)[rsmb],87$151295,19$86851
,(implements for Billable Time Block) Billable Transaction@get Billable Project for Billable Transaction(SS)*O,,,Worker Time@get Worker Time.has time type Project(GR),207$17571,19$86852
,(implements for Billable Time Block) Billable Transaction@get Grant for Billable Transaction(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Grant(GR)(public),207$18322,19$86853
,(implements for Billable Time Block) Billable Transaction@get Project Plan Phase for Billable Transaction(SS)*O,,,Billable Transaction@get Project Plan Phase for Billable Transaction parm(GRS)*P*S(public)[rsmb]+PA,87$467118,19$86854
,(implements for Time Review Event) Action Event@get Billable Transactions to Process(SS)*O,,,"Billable Time Block@get Time Block Reported Quantity(GA)

Time Review Event@get Time Review Event.groups Worker Time Block(GR)

Worker Time@get Time Block Deleted or Not Checking Deleted(SAC)*P[ramb]","86$507558,207$51528,12$8895",19$88162
,(implements for Worker Time Block) Calendar Container Entry Instance@ Calendar Entry Status Hint(SS)*O,,,Worker Time Block@get Highest Priority Status Hint from Worker Time Blocks(SSC)*P*S(public)[rsmb]+PA,87$470304,19$88715
,(implements for Billable Time Block) Billable Transaction@get Fund for Award Billable Transaction(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Fund(GR)(public),207$17916,19$89306
,(implements for Worker Time Block) Worker Coordinated Time Block@Time Review Events for Worker Coordinated Time Block Time Review Event [Nonsingular](SS)*O,,,Worker Time Block@get Worker Time Block.participates in approval for Time Review Event(GR),207$21124,19$92598
,(implements for Derived_WTB) Worker Time Block@ From Derived return reuse WTB(SS)*O,,,Derived_WTB@get Derived_WTB.re.use Worker Time Block(GR),207$34816,19$92703
,(implements for Worker Time Block{+1}) Worker Coordinated Time Block@get Out Reason(SS)*O,,,Worker Time@get Worker Time.out type Time Punch Type(GR),207$18705,19$93526
,(implements for Billable Time Block) Billable Transaction@get Transaction Origination Source(SS)*O,,,Transaction Origination Source (Metadata)@get Transaction Origination Source of Time Tracking(GSI)*S(public)[rsmb],87$362841,19$93564
,(implements for Worker Time Block) Worker Coordinated Time Block@get Calculation Tags for Worker Coordinated Time Block(SS)*O,,,Worker Time Block@get Worker Time Block.has Time Calculation Tag(GR),207$18920,19$94571
,(implements for Worker Time Block) Worker Coordinated Time Block@get Billing Recommendation Time Tracking Set Up Option(SS)*O,,,Worker Time@get Worker Time.has billing recommendation Time Tracking Set Up Option(GR),207$38399,19$96094
,(implements for Worker Time Block) Worker Coordinated Time Block@originates from Worker Time Block(SS)*O,,,Worker Time Block@get Worker Time Block.originates from Worker Time Block(GR),207$17594,19$98290
,(implements for Derived_WTB) Worker Coordinated Time Block@get Worker Coordinated Time Block(SS)*O,,,Derived_WTB@get Derived_WTB.re.use Worker Time Block(GR),207$34816,19$98589
,(implements for Worker Time Block) Worker Coordinated Time Block@get Worker Time Source(SS)*O,,,Worker Time@get Worker Time.has Worker Time Source(GR),207$28821,19$99039
,(implements for Billable Time Block) Billable Transaction@ Project Transaction Source for Billable Transaction(SS)*O,,,Project Transaction Source@get Time Project Transaction Source(GSI)*S(public)[rsmb],87$139519,19$101003
,(implements for Billable Time Block) Billable Transaction@get Project Role for Billable Transaction(SS)*O,,,Billable Time Block@get Project Role for Billable Transactions(GSS)[rsmb],87$413596,19$102881
,(implements for Time Review Event) Activity Streamable@get Events for Activity Streamable(SS)*O,,,Time Review Event@get Events From Time Review Event For Activity Streamable(SS)[rsmb],87$421303,19$104224
,(implements for All Derived Calculation Time Blocks Context) Time Calculation Context@ Derived Calculation Time Blocks for Calculation Context(SS)*O,,,All Derived Calculation Time Blocks Context@get All Derived Calculation Time Blocks Context.has all Derived Calculation Time Block(GR),207$49217,19$107370
,(implements for Time Off Entry) Worker Coordinated Time Block@get Calculation Tags for Worker Coordinated Time Block(SS)*O,,,,,19$108013
,(implements for Worker Time) Taggable@get Accounting Worktag as Cost Center(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Cost Center(GR)(public),207$17904,19$108248
,(implements for Worker Time) Taggable@get Accounting Worktag as Region(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Region(GR)(public),207$17938,19$108249
,(implements for Worker Time) Taggable@get Accounting Worktag as Fund(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Fund(GR)(public),207$17916,19$108250
,(implements for Worker Time) Taggable@get Tagged by Accounting Worktag as Program(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Program(GR)(public),207$18323,19$108251
,(implements for Worker Time) Taggable@get Accounting Worktag as Job Profile(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Job Profile(GR)(public),207$17924,19$108252
,(implements for Worker Time) Taggable@get Accounting Worktag as Location(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Location(GR)(public),207$17925,19$108253
,(implements for Worker Time) Taggable@get Accounting Worktag as Grant(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Grant(GR)(public),207$18322,19$108254
,(implements for Worker Time) Taggable@get Accounting Worktag as Business Unit(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Business Unit(GR)(public),207$18325,19$108255
,(implements for Worker Time) Taggable@get Accounting Worktag as Gift(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Gift(GR)(public),207$26758,19$108256
,(implements for Worker Time) Taggable@get Accounting Worktags as Custom Organizations(SS)*O,,,"Flat Taggable@get Flat Taggable.tagged by index 01 Custom Organization(GR)(public)

Flat Taggable@get Flat Taggable.tagged by index 02 Custom Organization(GR)(public)

Flat Taggable@get Flat Taggable.tagged by index 03 Custom Organization(GR)(public)

Flat Taggable@get Flat Taggable.tagged by index 04 Custom Organization(GR)(public)

Flat Taggable@get Flat Taggable.tagged by index 05 Custom Organization(GR)(public)

Flat Taggable@get Flat Taggable.tagged by index 06 Custom Organization(GR)(public)

Flat Taggable@get Flat Taggable.tagged by index 07 Custom Organization(GR)(public)

Flat Taggable@get Flat Taggable.tagged by index 08 Custom Organization(GR)(public)

Flat Taggable@get Flat Taggable.tagged by index 09 Custom Organization(GR)(public)

Flat Taggable@get Flat Taggable.tagged by index 10 Custom Organization(GR)(public)","207$17987,207$17988,207$17989,207$17990,207$17991,207$17992,207$17993,207$17994,207$17995,207$17996",19$108257
,(implements for Worker Time) Taggable@get Accounting Worktag as Custom Worktag 01(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Custom Worktag 01(GR)(public),207$17905,19$108258
,(implements for Worker Time) Taggable@get Accounting Worktag as Custom Worktag 02(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Custom Worktag 02(GR)(public),207$17906,19$108259
,(implements for Worker Time) Taggable@get Accounting Worktag as Custom Worktag 03(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Custom Worktag 03(GR)(public),207$17907,19$108260
,(implements for Worker Time) Taggable@get Accounting Worktag as Custom Worktag 05(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Custom Worktag 05(GR)(public),207$17909,19$108261
,(implements for Worker Time) Taggable@get Accounting Worktag as Custom Worktag 04(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Custom Worktag 04(GR)(public),207$17908,19$108262
,(implements for Worker Time) Taggable@get Accounting Worktag as Custom Worktag 06(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Custom Worktag 06(GR)(public),207$24171,19$108263
,(implements for Worker Time) Taggable@get Accounting Worktag as Custom Worktag 07(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Custom Worktag 07(GR)(public),207$24172,19$108264
,(implements for Worker Time) Taggable@get Accounting Worktag as Custom Worktag 08(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Custom Worktag 08(GR)(public),207$24173,19$108265
,(implements for Worker Time) Taggable@get Accounting Worktag as Custom Worktag 09(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Custom Worktag 09(GR)(public),207$24174,19$108266
,(implements for Worker Time) Taggable@get Accounting Worktag as Custom Worktag 10(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Custom Worktag 10(GR)(public),207$24175,19$108267
,(implements for Worker Time) Taggable@get Accounting Worktag as Custom Worktag 11(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Custom Worktag 11(GR)(public),207$24176,19$108268
,(implements for Worker Time) Taggable@get Accounting Worktag as Custom Worktag 12(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Custom Worktag 12(GR)(public),207$24177,19$108269
,(implements for Worker Time) Taggable@get Accounting Worktag as Custom Worktag 13(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Custom Worktag 13(GR)(public),207$24178,19$108270
,(implements for Worker Time) Taggable@get Accounting Worktag as Custom Worktag 14(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Custom Worktag 14(GR)(public),207$24179,19$108271
,(implements for Worker Time) Taggable@get Accounting Worktag as Custom Worktag 15(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Custom Worktag 15(GR)(public),207$24180,19$108272
,(implements for Time Review Event) Action Event@get Billing Rate Applications for this Action Event(SS)*O,,,Billing Rate Application (Derived)@get Billing Rate Applications for Time Review Event Transactions(IOP)*P*S(public)[rsmb]+PA,87$446855,19$108484
,(implements for Time Review Event) Transaction Log@get Transaction Log Subclass has Time Off(SS)*O,,,Time Off Entry@get Time Off Entries for Time Off Event parm(GRS)*P*S(public)[rsmb]+PA,87$202598,19$108494
,(implements for Worker Time Block) Worker Coordinated Time Block@ Time Events Linked to WCTB(SS)*O,,,Worker Time Block@get Time Review Events for Worker Time Block(SS)(public)[rsmb],87$179662,19$108592
,(implements for Worker Time) Taggable@get Accounting Worktag as Payroll State Authority(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Payroll State Authority(GR)(public),207$17932,19$108944
,(implements for Worker Time) Taggable@get Accounting Worktag as Payroll Local County Authority(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Payroll Local County Authority(GR)(public),207$17930,19$108945
,(implements for Worker Time) Taggable@get Accounting Worktag as Payroll Local City Authority(SS)*O,,,Flat Taggable@get Flat Taggable.tagged by Payroll Local City Authority(GR)(public),207$17929,19$108946
,(implements for Derived_WTB) Time Block Interface@get Original Instance(SS)*O,,,Worker Time Block@get Worker Time Block.originates from Worker Time Block(GR),207$17594,19$109755
,(implements for Class Report Field{+5}) External Field@get Time Calculation Complexity Node(SS)*O,,,External Field@get Constructor for Time Calculation Complexity Tree Node(IOP)*P[rsmb],87$464466,19$111216
,(implements for Billable Time Block) Billable Transaction@get Project Plan Phase to Persist on Billable Transaction(SS)*O,,,Project API@get Project Plan Phase from Worker Time Block Project Plan Task(SS)*P*S(public)[rsmb]+PA,87$312370,19$112208
,(implements for Worker Time Block) Worker Coordinated Time Block@get WCTBs for Block Status(SS)*O,,,Common Instance Set@get All Calculated Blocks Excluding Deleted unless This Block is Deleted and Reported else This Block(SS)*P*S(public)[rsmb]+PA,87$470991,19$112326
,(implements for Derived_WTB) Worker Time@ Time Block History By(SS)*O,,,Derived_WTB@get Derived_WTB.was modified by Workflow Process Participant(GR),207$53164,19$113673
,(implements for Billable Time Block) Billable Transaction@get Billing Document Status(SS)*O,,,Billable Transaction@get Billing Document Status(GRS)*P*S(public)[rsmb]+PA,87$482438,19$114081
,(implements for Time Review Event) Retro Entry@get Retro Entry Details(SS)*O,,,Time Review Event@get Summary of Worker Time Blocks by Date and Calc Tags(IOP)(public)[rsmb],87$494448,19$114838
,(implements for Worker Time Block) Retro Entry Details@get Retro Entry(SS)*O,,,Worker Time Block@get Worker Time Block.participates in approval for Time Review Event(GR),207$21124,19$114839
,(implements for Worker Time Block) Retro Entry Details@get Type(SS)*O,,,Worker Time Block@get Worker Time Block.has Time Calculation Tag(GR),207$18920,19$114840
,(implements for Worker Time Block{+1}) Worker Coordinated Time Block@ Override Rate Currency for Worker Coordinated Block(SS)*O,,,Time Tracking Taggable@get Time Tracking Taggable.reported Currency(GR),207$23405,19$115468
,(implements for Billable Time Block) Billable Transaction@get Project Plan Task for Billable Transaction(SS)*O,,,Worker Time@get Worker Time.has time type Project Plan Task(GR),207$17573,19$115469
,(implements for Derived Time Block Change Set) Abstract Derived Time Block Change Set@updates Block(SS)*O,,,Derived Time Block Change Set@get Derived Time Block Change Set.updates Derived Calculation Time Block(GR),207$49336,19$118692
,(implements for Project Plan Task{+1}) Time Type@get Time Tracking Unit for Time Type(SS)*O,,,Time Type@get Time Tracking Unit for Time Entry Code(GRS)*P*S[rsmb]+PA,87$519641,19$119567
,(implements for Initialization Derived Time Block Change Set) Abstract Derived Time Block Change Set@updates Block(SS)*O,,,Initialization Derived Time Block Change Set@get Initialization Derived Time Block Change Set.initializes Worker Time Block(GR),207$56716,19$119776
,(implements for Initialization Derived Time Block Change Set) Abstract Derived Time Block Change Set@get Time Calculation that created Change Set(SS)*O,,,,,19$119777
,(implements for Derived_WTB) Worker Time Block@get Reported Block for Initialization Calculation Hybrid/Originating Relationship(SS)*O,,,Instance@get This Instance(GSS)(public)[rsmb],87$2,19$119778
,(implements for Worker Time Block{+2}) Worker Coordinated Time Block@get Employment(SS)*O,,,Worker Time@get Worker Time.for Employment(GR),207$20588,19$122448
,(implements for Incomplete Worker Time Block) Calendar Container Entry Instance@ Calendar Entry Status Hint(SS)*O,,,Calendar Container Entry Instance Status Hint@get Saved Calendar Entry Status Hint(GSI)*S(public)[rsmb],87$348624,19$123973
,(implements for Worker Time Block) Worker Coordinated Time Block@get Micro Edit View Details Task(SS)*O,,,Worker Time Block@get Time Block Micro-view task(GSI)*S[rsmb],87$367252,19$124026
,(implements for Project) Time Type@get Project for Time Type(SS)*O,,,Instance@get This Instance(GSS)(public)[rsmb],87$2,19$124190
,(implements for Project Plan Task) Time Type@get Project for Time Type(SS)*O,,,Project Plan Task@get Project Plan Task.for Project(GR)(public),207$33210,19$124192
,(implements for Incomplete Worker Time Block (Derived)) Worker Coordinated Time Block@get Worker Coordinated Time Block(SS)*O,,,Incomplete Worker Time Block (Derived)@get Incomplete Worker Time Block (Derived).modifies Incomplete Worker Time Block(GR),207$58767,19$126061
,(implements for Time Approval Parameter Container) Time Application (All)@uses Query Datatype(SS)*O,,,Time Application Query Datatype@get Time Off Entry and Worker Time Block Instances(GSI)*S[rsmb],87$563640,19$126202
